id	statement	keywords
S-0461	E1 requires time reversal to flip only directed terms.	directed,e1,flip,only,requires,reversal,terms,time
S-0462	E2 Symmetry requires invariance under declared permutations, gauges, and re-parameterizations.	declared,e2,gauges,invariance,permutations,re-parameterizations,requires,symmetry,under
S-0463	E2 requires leadership invariance under relabeling.	e2,invariance,leadership,relabeling,requires,under
S-0464	E3 Causal Micro-Nudge uses randomized plus-minus phase or frequency nudges with sham controls.	causal,controls,e3,frequency,micro-nudge,nudges,phase,plus-minus,randomized,sham,uses
S-0465	E3 requires positive deltas in DeltaK, Delta epsilon_cap, and DeltaT versus sham with correct lag and sign.	correct,delta,deltak,deltas,deltat,e3,epsilon_cap,lag,positive,requires,sham,sign,versus
S-0466	E3 safety requires epsilon_cap > 0 and |s_f| <= tau_f.	e3,epsilon_cap,requires,s_f,safety,tau_f
S-0467	E4 RG Persistence uses x2 dyadic pooling.	dyadic,e4,persistence,pooling,rg,uses,x2
S-0468	E4 requires low-order persistence and high-order thinning.	e4,high-order,low-order,persistence,requires,thinning
S-0469	E4 requires negative thinning slope.	e4,negative,requires,slope,thinning
S-0470	E4 requires epsilon_stab non-degradation for survivors.	e4,epsilon_stab,non-degradation,requires,survivors
S-0471	E4 requires non-inflating zeta for survivors.	e4,non-inflating,requires,survivors,zeta
S-0472	Decision rights map Probe to E0-E1, Primitive to E0-E2, and Law to E0-E4 with persistence and stronger S*.	decision,e0-e1,e0-e2,e0-e4,law,map,persistence,primitive,probe,rights,stronger
S-0473	E0-E4 motivation is hard gates with typed pass-fail outcomes.	e0-e4,gates,hard,motivation,outcomes,pass-fail,typed
S-0474	E0-E4 prevents amplitude illusions through E1 mute checks.	amplitude,checks,e0-e4,e1,illusions,mute,prevents,through
S-0475	E0-E4 prevents gauge drift through E2 symmetry checks.	checks,drift,e0-e4,e2,gauge,prevents,symmetry,through
S-0476	E0-E4 prevents placebo lifts through E3 sham and lag-sign checks.	checks,e0-e4,e3,lag-sign,lifts,placebo,prevents,sham,through
S-0477	E0-E4 prevents scale collapse through E4 thinning checks.	checks,collapse,e0-e4,e4,prevents,scale,thinning,through
S-0478	Audit pipeline is E0 then E1 then E2 then optional E3 then E4.	audit,e0,e1,e2,e3,e4,optional,pipeline
S-0479	Any fail aborts pipeline with typed reason.	aborts,any,fail,pipeline,reason,typed
S-0480	Default E3 protocol requires N >= 240 and FDR 0.01.	01,240,default,e3,fdr,protocol,requires
S-0481	E4 protocol requires x2 pooling and thinning checks.	checks,e4,pooling,protocol,requires,thinning,x2
S-0482	E3 protocol requires split trial with plus, minus, and sham arms.	arms,e3,minus,plus,protocol,requires,sham,split,trial
S-0483	E3 protocol requires preregistered endpoints and corridor-safe nudges.	corridor-safe,e3,endpoints,nudges,preregistered,protocol,requires
S-0484	E4 protocol recomputes K-hat, epsilon_cap, epsilon_stab, and zeta after pooling.	after,e4,epsilon_cap,epsilon_stab,k-hat,pooling,protocol,recomputes,zeta
S-0485	E4 failure requires demotion and optics re-tuning.	demotion,e4,failure,optics,re-tuning,requires
S-0486	Controller loop runs spot E1/E2 after frequency and phase operations.	after,controller,e1,e2,frequency,loop,operations,phase,runs,spot
S-0487	Controller loop re-runs E1 after amplitude operations.	after,amplitude,controller,e1,loop,operations,re-runs
S-0488	Controller loop runs E2 and optional E3 after space operations.	after,controller,e2,e3,loop,operations,optional,runs,space
S-0489	Controller loop runs E4 before promotion.	before,controller,e4,loop,promotion,runs
S-0490	Eligibility wall forbids phase forcing when epsilon_cap equals zero or |s_f| exceeds one.	eligibility,epsilon_cap,equals,exceeds,forbids,forcing,one,phase,s_f,wall,when,zero
S-0491	Violating eligibility walls voids E1 and E3 claims.	claims,e1,e3,eligibility,violating,voids,walls
S-0492	Mute guard requires accepted locks to retain phase signatures under amplitude mute.	accepted,amplitude,guard,locks,mute,phase,requires,retain,signatures,under
S-0493	Symmetry guard requires invariant leadership roster under declared permutations.	declared,guard,invariant,leadership,permutations,requires,roster,symmetry,under
S-0494	E3 guard requires sham-beating lifts with preregistered lag-sign criteria and safety compliance.	compliance,criteria,e3,guard,lag-sign,lifts,preregistered,requires,safety,sham-beating
S-0495	RG guard requires thinning slope below zero with survivor persistence and stable zeta.	below,guard,persistence,requires,rg,slope,stable,survivor,thinning,zero,zeta
S-0496	E0-E4 evidence package includes decision table for Probe Primitive Law rights and duties.	decision,duties,e0-e4,evidence,includes,law,package,primitive,probe,rights,table
S-0497	E0-E4 evidence package includes common failure signatures and prescribed fixes.	common,e0-e4,evidence,failure,fixes,includes,package,prescribed,signatures
S-0498	Delta-Report must include E0-E4 checklist.	checklist,delta-report,e0-e4,include,must
S-0499	Delta-Report must include phase-mute and thinning pre-post figures.	delta-report,figures,include,must,phase-mute,pre-post,thinning
S-0500	Delta-Report must include accepted-ratio tables, E3 delta tables, and survivor tables.	accepted-ratio,delta,delta-report,e3,include,must,survivor,tables
S-0501	Delta-Report narrative must report null, mechanism, causal, and RG verdicts.	causal,delta-report,mechanism,must,narrative,null,report,rg,verdicts
S-0502	E1 falsifier is phase evidence vanishing under amplitude mute.	amplitude,e1,evidence,falsifier,mute,phase,under,vanishing
S-0503	E2 falsifier is leadership flip under permutation or gauge changes.	changes,e2,falsifier,flip,gauge,leadership,permutation,under
S-0504	E3 falsifier is lack of on-manifold lift or safety violation or dependence on nonzero m.	dependence,e3,falsifier,lack,lift,nonzero,on-manifold,safety,violation
S-0505	E4 falsifier is integer-thinning break where high order outruns low order.	break,e4,falsifier,high,integer-thinning,low,order,outruns,where
S-0506	E4 falsifier includes zeta inflation for survivors.	e4,falsifier,includes,inflation,survivors,zeta
S-0507	Compared with ad hoc stress tests, E0-E4 has specified inputs metrics thresholds and typed outcomes.	ad,compared,e0-e4,has,hoc,inputs,metrics,outcomes,specified,stress,tests,thresholds,typed
S-0508	More data cannot rescue hard E-gate failures without fixing eligibility brittleness or optics.	brittleness,cannot,data,e-gate,eligibility,failures,fixing,hard,more,optics,rescue,without
S-0509	Methods must publish E0 calibration quantities including Delta omega Delta t, null CI, and gauge invariance.	calibration,ci,delta,e0,gauge,including,invariance,methods,must,null,omega,publish,quantities
S-0510	Methods must include E1 mute comparison at current optics.	comparison,current,e1,include,methods,must,mute,optics
S-0511	Methods must include E2 permutation and gauge invariance proofs.	e2,gauge,include,invariance,methods,must,permutation,proofs
S-0512	Methods must preregister E3 endpoints and run randomized plus-minus nudges with N>=240 and FDR 0.01.	01,240,e3,endpoints,fdr,methods,must,nudges,plus-minus,preregister,randomized,run
S-0513	Methods must report E3 lag structure and sham deltas.	deltas,e3,lag,methods,must,report,sham,structure
S-0514	Methods must run E4 x2 pooling and publish thinning plots, survivor tests, epsilon_stab deltas, zeta deltas, and fail actions.	actions,deltas,e4,epsilon_stab,fail,methods,must,plots,pooling,publish,run,survivor,tests,thinning,x2,zeta
S-0515	E0-E4 plain-language rule is that Law claims require passing calibration, mute reality, symmetry, causal nudge, and zoom-out persistence.	calibration,causal,claims,e0-e4,law,mute,nudge,passing,persistence,plain-language,reality,require,rule,symmetry,zoom-out
S-0516	Failing any E-gate requires demotion with receipts instead of narrative rescue.	any,demotion,e-gate,failing,instead,narrative,receipts,requires,rescue
S-0517	SHR tie-in requires E1/E2 spot checks after F and P operations.	after,checks,e1,e2,operations,requires,shr,spot,tie-in
S-0518	SHR tie-in requires E1 recheck after A operations.	after,e1,operations,recheck,requires,shr,tie-in
S-0519	SHR tie-in requires E2 and optional E3 after S operations.	after,e2,e3,operations,optional,requires,shr,tie-in
S-0520	SHR tie-in requires E4 before promotion.	before,e4,promotion,requires,shr,tie-in
S-0521	Escalation ladder L0-L4 maps audit pass states to promotion and retreat signals.	audit,escalation,l0-l4,ladder,maps,pass,promotion,retreat,signals,states
S-0522	Delta-Energy is a bounded-below Lyapunov candidate on hats.	bounded-below,candidate,delta-energy,hats,lyapunov
S-0523	Delta-Energy must be non-increasing under lawful actions with eligibility open and audits green.	actions,audits,delta-energy,eligibility,green,lawful,must,non-increasing,open,under
S-0524	Collapse is finite relaxation of Delta-Energy to a 3DL-stable minimum lock.	3dl-stable,collapse,delta-energy,finite,lock,minimum,relaxation
S-0525	If lawful edits cannot reduce Delta-Energy, the system abstains with witness.	abstains,cannot,delta-energy,edits,if,lawful,reduce,system,witness
S-0526	Delta-Energy is computed from motion, LOW order penalty, abstention penalty, coherence penalty, and memory penalty terms.	abstention,coherence,computed,delta-energy,low,memory,motion,order,penalty,terms
S-0527	Delta-Energy uses pi = partial_t u as window-local momentum surrogate on hats.	delta-energy,hats,momentum,partial_t,pi,surrogate,uses,window-local
S-0528	Alpha, gamma, and delta coefficients in Delta-Energy are positive.	alpha,coefficients,delta,delta-energy,gamma,positive
S-0529	LOW weights lambda_k are fixed and decreasing with order k.	decreasing,fixed,lambda_k,low,order,weights
S-0530	Projector P(u) is the low-order candidate cover.	candidate,cover,low-order,projector
S-0531	Abstention geometry nu_eff is nonnegative and raises cost of off-manifold forcing.	abstention,cost,forcing,geometry,nonnegative,nu_eff,off-manifold,raises
S-0532	All Delta-Energy terms are evaluated after one 3DL quantization pass.	3dl,after,all,delta-energy,evaluated,one,pass,quantization,terms
S-0533	Delta-Energy is nonnegative on CRL lattice.	crl,delta-energy,lattice,nonnegative
S-0534	Bands restrict where projector updates are admissible.	admissible,bands,projector,restrict,updates,where
S-0535	Lawful runtime edits must not raise Delta-Energy.	delta-energy,edits,lawful,must,not,raise,runtime
S-0536	Illegal knob-twiddling appears as positive Delta-Energy bumps.	appears,bumps,delta-energy,illegal,knob-twiddling,positive
S-0537	A lock is a local 3DL minimum reached by finite monotone descent steps.	3dl,descent,finite,local,lock,minimum,monotone,reached,steps
S-0538	A lock dossier is a relaxation trace.	dossier,lock,relaxation,trace
S-0539	If all admissible edits raise Delta-Energy or eligibility is closed, abstention is required.	abstention,admissible,all,closed,delta-energy,edits,eligibility,if,raise,required
S-0540	Frequency edits are lawful only when they increase eligibility or decrease detune.	decrease,detune,edits,eligibility,frequency,increase,lawful,only,they,when
S-0541	Lawful frequency edits require Delta-Energy change <= 0.	change,delta-energy,edits,frequency,lawful,require
S-0542	Frequency edits should show strict Delta-Energy drop when eligibility increases at fixed hazard.	delta-energy,drop,edits,eligibility,fixed,frequency,hazard,increases,should,show,strict,when
S-0543	Phase action uses one snap toward hinge corridor followed by low-gain polishing.	action,corridor,followed,hinge,low-gain,one,phase,polishing,snap,toward,uses
S-0544	Lawful phase action requires coherence residual decrease.	action,coherence,decrease,lawful,phase,requires,residual
S-0545	Lawful phase action requires total Delta-Energy change <= 0.	action,change,delta-energy,lawful,phase,requires,total
S-0546	Phase and amplitude actions are illegal when eligibility <= 0.	actions,amplitude,eligibility,illegal,phase,when
S-0547	Amplitude action uses bounded reversible multiplicative updates.	action,amplitude,bounded,multiplicative,reversible,updates,uses
S-0548	Lawful amplitude action must increase harmony and reduce coherence residual.	action,amplitude,coherence,harmony,increase,lawful,must,reduce,residual
S-0549	Lawful amplitude action must not increase abstention term.	abstention,action,amplitude,increase,lawful,must,not,term
S-0550	Lawful amplitude action requires Delta-Energy change <= 0 with line-item receipts.	action,amplitude,change,delta-energy,lawful,line-item,receipts,requires
S-0551	Space edits are lawful only if they reduce LOW order cost or brittleness and do not increase abstention.	abstention,brittleness,cost,do,edits,if,increase,lawful,low,not,only,order,reduce,space,they
S-0552	Space edits require non-positive change in LOW order term.	change,edits,low,non-positive,order,require,space,term
S-0553	Space edits require non-positive total Delta-Energy change.	change,delta-energy,edits,non-positive,require,space,total
S-0554	Composite lawful window step satisfies DeltaE_F + DeltaE_P + DeltaE_A + DeltaE_S <= 0.	composite,deltae_a,deltae_f,deltae_p,deltae_s,lawful,satisfies,step,window
S-0555	Composite step should be strictly negative for on-manifold state changes and zero on holds.	changes,composite,holds,negative,on-manifold,should,state,step,strictly,zero
S-0556	Collapse requires monotone descent across all acted steps.	across,acted,all,collapse,descent,monotone,requires,steps
S-0557	Collapse requires at least one strict drop per acted axis.	acted,axis,collapse,drop,least,one,per,requires,strict
S-0558	Collapse requires 3DL flooring where further lawful actions give zero Delta-Energy change up to tolerance.	3dl,actions,change,collapse,delta-energy,flooring,further,give,lawful,requires,tolerance,up,where,zero
S-0559	Collapse requires stability under Delta-Subtractive and E4 pooling.	collapse,delta-subtractive,e4,pooling,requires,stability,under
S-0560	Collapse requires absence of lower-order alternative with lower Delta-Energy.	absence,alternative,collapse,delta-energy,lower,lower-order,requires
S-0561	Collapse portability requires H-infinity key stability and no induced-gain wall breach.	breach,collapse,h-infinity,induced-gain,key,no,portability,requires,stability,wall
S-0562	Lock publication requires energy trace receipts.	energy,lock,publication,receipts,requires,trace
S-0563	Energy receipt R1 is per-window line-item ledger for all term deltas and total Delta-Energy.	all,delta-energy,deltas,energy,ledger,line-item,per-window,r1,receipt,term,total
S-0564	Energy receipt R2 is telescoping proof that cumulative Delta-Energy change is non-positive.	change,cumulative,delta-energy,energy,non-positive,proof,r2,receipt,telescoping
S-0565	Energy receipt R3 is monotone staircase plot with snap hold release and eligibility annotations.	annotations,eligibility,energy,hold,monotone,plot,r3,receipt,release,snap,staircase
S-0566	Energy receipt R4 is axis-specific before-after residual audits.	audits,axis-specific,before-after,energy,r4,receipt,residual
S-0567	Energy receipt R5 overlays hazard timeline with eligibility and action points.	action,eligibility,energy,hazard,overlays,points,r5,receipt,timeline
S-0568	Energy receipt R6 is refusal witness Theta when lawful candidate step raises Delta-Energy or eligibility closes.	candidate,closes,delta-energy,eligibility,energy,lawful,r6,raises,receipt,refusal,step,theta,when,witness
S-0569	All Delta-Energy receipts are on CRL/3DL counts or three-sig-fig values.	3dl,all,counts,crl,delta-energy,receipts,three-sig-fig,values
S-0570	CRL/3DL-only invariant forbids sub-CRL bump usage in Delta-Energy decisions.	3dl-only,bump,crl,decisions,delta-energy,forbids,invariant,sub-crl,usage
S-0571	Eligibility wall forbids phase and amplitude edits when eligibility <= 0.	amplitude,edits,eligibility,forbids,phase,wall,when
S-0572	LOW discipline requires space edits to reduce order or brittleness or be refused.	brittleness,discipline,edits,low,order,reduce,refused,requires,space
S-0573	One-snap rule allows at most one phase snap per window with re-measure between axes.	allows,axes,between,most,one,one-snap,per,phase,re-measure,rule,snap,window
S-0574	Audit supremacy means Delta-Energy pass cannot override failing E1-E4 or band audits.	audit,audits,band,cannot,delta-energy,e1-e4,failing,means,override,pass,supremacy
S-0575	Delta-Energy falsifier is energy bump on claimed lawful commit.	bump,claimed,commit,delta-energy,energy,falsifier,lawful
S-0576	Delta-Energy falsifier is mute illusion where phase gain disappears under amplitude mute.	amplitude,delta-energy,disappears,falsifier,gain,illusion,mute,phase,under,where
S-0577	Delta-Energy falsifier is off-eligibility phase or amplitude edit.	amplitude,delta-energy,edit,falsifier,off-eligibility,phase
S-0578	Delta-Energy falsifier is RG inversion where higher-order cover has lower post-pooling Delta-Energy than accepted low-order lock.	accepted,cover,delta-energy,falsifier,has,higher-order,inversion,lock,low-order,lower,post-pooling,rg,than,where
S-0579	Delta-Energy falsifier is H-infinity portability break at claimed minimum.	break,claimed,delta-energy,falsifier,h-infinity,minimum,portability
S-0580	Any Delta-Energy falsifier routes to Theta with annotated ledger slice.	annotated,any,delta-energy,falsifier,ledger,routes,slice,theta
S-0581	Methods must declare alpha, lambda_k, gamma, delta, hinge bands, hazard cap, and eligibility policy.	alpha,bands,cap,declare,delta,eligibility,gamma,hazard,hinge,lambda_k,methods,must,policy
S-0582	Methods must quantize hats at 3DL and initialize projector from MDL roster.	3dl,hats,initialize,mdl,methods,must,projector,quantize,roster
S-0583	Methods must run gated SHR sequence Frequency then Phase then Amplitude then Space with one snap per axis.	amplitude,axis,frequency,gated,methods,must,one,per,phase,run,sequence,shr,snap,space
S-0584	Methods must record receipts R1 through R5 each window and early-exit to Theta on violation.	each,early-exit,methods,must,r1,r5,receipts,record,theta,through,violation,window
S-0585	Methods must finish with Delta-Subtractive and E4 and run H-infinity when locking.	delta-subtractive,e4,finish,h-infinity,locking,methods,must,run,when
S-0586	Methods must publish energy trace with seeds and hashes.	energy,hashes,methods,must,publish,seeds,trace
S-0587	Delta-Energy plain-language rule is legal moves only decrease fuel gauge; red-light states abstain.	abstain,decrease,delta-energy,fuel,gauge,legal,moves,only,plain-language,red-light,rule,states
S-0588	Collapse is relaxation that is auditable and replayable.	auditable,collapse,relaxation,replayable
S-0589	MDL prior maps directly to Delta-Energy order and brittleness penalties.	brittleness,delta-energy,directly,maps,mdl,order,penalties,prior
S-0590	Minimizing MDL under guards is equivalent to descending Delta-Energy.	delta-energy,descending,equivalent,guards,mdl,minimizing,under
S-0591	Omega-Sieve pruning is contractive under MDL-compliant descent.	contractive,descent,mdl-compliant,omega-sieve,pruning,under
S-0592	Hazard decreases under MDL-compliant lower-order smoother fields.	decreases,fields,hazard,lower-order,mdl-compliant,smoother,under
S-0593	Non-compliant edits raise hazard and must be refused.	edits,hazard,must,non-compliant,raise,refused
S-0594	Space edits must satisfy MDL decrease and Delta-Energy non-increase.	decrease,delta-energy,edits,mdl,must,non-increase,satisfy,space
S-0595	Phase and amplitude edits must reduce brittleness and Delta-Energy.	amplitude,brittleness,delta-energy,edits,must,phase,reduce
S-0596	If higher MDL cost candidate wins, route to Theta RG/LOW or Lyapunov.	candidate,cost,higher,if,low,lyapunov,mdl,rg,route,theta,wins
S-0597	MDL-energy receipts require non-positive order and brittleness line-item deltas on accepted moves.	accepted,brittleness,deltas,line-item,mdl-energy,moves,non-positive,order,receipts,require
S-0598	Omega report must show frontier shrinkage or non-expansion after MDL-compliant pruning.	after,frontier,mdl-compliant,must,non-expansion,omega,pruning,report,show,shrinkage
S-0599	Hazard overlay must be non-increasing across accepted MDL-compliant edits.	accepted,across,edits,hazard,mdl-compliant,must,non-increasing,overlay
S-0600	MDL-energy guard requires one-snap, open eligibility, fixed bands, and 3DL-only values.	3dl-only,bands,eligibility,fixed,guard,mdl-energy,one-snap,open,requires,values
S-0601	MDL-energy falsifier F1 is accepted higher-order cover despite in-band lower-order alternative.	accepted,alternative,cover,despite,f1,falsifier,higher-order,in-band,lower-order,mdl-energy
S-0602	MDL-energy falsifier F2 is accepted edit with positive brittleness delta.	accepted,brittleness,delta,edit,f2,falsifier,mdl-energy,positive
S-0603	MDL-energy falsifier F3 is non-contractive Omega frontier after claimed MDL step.	after,claimed,f3,falsifier,frontier,mdl,mdl-energy,non-contractive,omega,step
S-0604	MDL-energy falsifier F4 is hazard cap breach during claimed MDL-improving edit.	breach,cap,claimed,during,edit,f4,falsifier,hazard,mdl-energy,mdl-improving
S-0605	MDL-energy plain-language rule is simple and sturdy equals lawful relaxation.	equals,lawful,mdl-energy,plain-language,relaxation,rule,simple,sturdy
S-0606	Refusal-Abstention Decision Card maps L, sigma_phi^2, and terminal Delta-Energy to one CPL exit.	card,cpl,decision,delta-energy,exit,maps,one,refusal-abstention,sigma_phi,terminal
S-0607	Decision card exits are Corridor-to-Soliton lock, Corridor-Only, Cavitation, or Abstention.	abstention,card,cavitation,corridor-only,corridor-to-soliton,decision,exits,lock
S-0608	Decision card runs on CRL/3DL hats with bands, hazard gates, timers, and one-snap.	3dl,bands,card,crl,decision,gates,hats,hazard,one-snap,runs,timers
S-0609	Luminality L is open iff eligibility is sustained and hazard stays below cap over horizon.	below,cap,eligibility,hazard,horizon,iff,luminality,open,over,stays,sustained
S-0610	Luminality L closed means L <= 0.	closed,luminality,means
S-0611	Phase variance input is windowed residual variance with threshold sigma_phi^2 <= sigma_max^2.	input,phase,residual,sigma_max,sigma_phi,threshold,variance,windowed
S-0612	Terminal Delta-Energy is E_end - E_start with zero-band tolerance epsilon_E.	delta-energy,e_end,e_start,epsilon_e,terminal,tolerance,zero-band
S-0613	Lawful edited windows require terminal Delta-Energy <= 0.	delta-energy,edited,lawful,require,terminal,windows
S-0614	Decision card constants are sigma_max^2, epsilon_E, H_c, horizon H, and settle timer W_epsilon.	card,constants,decision,epsilon_e,h_c,horizon,settle,sigma_max,timer,w_epsilon
S-0615	Corridor-to-Soliton requires L open, phase variance in-band, Delta-Energy non-positive, and separate commit receipts green.	commit,corridor-to-soliton,delta-energy,green,in-band,non-positive,open,phase,receipts,requires,separate,variance
S-0616	If commit receipts are not all green under corridor conditions, route to Corridor-Only.	all,commit,conditions,corridor,corridor-only,green,if,not,receipts,route,under
S-0617	Corridor-Only allows transport without commit and keeps transport keys.	allows,commit,corridor-only,keeps,keys,transport,without
S-0618	Cavitation triggers when L open and phase variance out-of-band.	cavitation,open,out-of-band,phase,triggers,variance,when
S-0619	Cavitation triggers when any edit has terminal Delta-Energy > epsilon_E.	any,cavitation,delta-energy,edit,epsilon_e,has,terminal,triggers,when
S-0620	Cavitation triggers on eligibility flip with positive terminal Delta-Energy.	cavitation,delta-energy,eligibility,flip,positive,terminal,triggers
S-0621	Cavitation action is demotion, reversible undo, and Theta witness at earliest failing gate.	action,cavitation,demotion,earliest,failing,gate,reversible,theta,undo,witness
S-0622	Abstention triggers when L closed regardless of other action legality.	abstention,action,closed,legality,other,regardless,triggers,when
S-0623	With L closed, phase and amplitude edits are illegal and hold/refuse is required.	amplitude,closed,edits,hold,illegal,phase,refuse,required
S-0624	Decision card has no fifth exit.	card,decision,exit,fifth,has,no
S-0625	Score-pass but guard-fail must route to Theta at earliest gate.	but,earliest,gate,guard-fail,must,route,score-pass,theta
S-0626	Decision card template logs inputs, routing, and attached receipts.	attached,card,decision,inputs,logs,receipts,routing,template
S-0627	Decision card receipts include timer satisfaction and hazard timeline.	card,decision,hazard,include,receipts,satisfaction,timeline,timer
S-0628	Decision card receipts include phase variance method and band.	band,card,decision,include,method,phase,receipts,variance
S-0629	Decision card receipts include Delta-Energy ledger slice and line items.	card,decision,delta-energy,include,items,ledger,line,receipts,slice
S-0630	Corridor-to-Soliton decisions must attach commit receipts including slope-1 mirrors, quick subtractions, and pooling.	attach,commit,corridor-to-soliton,decisions,including,mirrors,must,pooling,quick,receipts,slope-1,subtractions
S-0631	Decision card admissibility requires single 3DL quantization pass on inputs.	3dl,admissibility,card,decision,inputs,pass,quantization,requires,single
S-0632	Any snap resets W_epsilon and restarts horizon H.	any,horizon,resets,restarts,snap,w_epsilon
S-0633	One-snap rule applies per window.	applies,one-snap,per,rule,window
S-0634	Decision card cannot overrule E-audits, Bands, Delta-Subtractive, E4, or H-infinity during promotion.	bands,cannot,card,decision,delta-subtractive,during,e-audits,e4,h-infinity,overrule,promotion
S-0635	Decision card falsifier is ungated phase-amplitude edit with L closed.	card,closed,decision,edit,falsifier,phase-amplitude,ungated
S-0636	Decision card falsifier is accepted corridor/lock window with terminal Delta-Energy > epsilon_E.	accepted,card,corridor,decision,delta-energy,epsilon_e,falsifier,lock,terminal,window
S-0637	Decision card falsifier is phase variance out-of-band without cavitation route.	card,cavitation,decision,falsifier,out-of-band,phase,route,variance,without
S-0638	Decision card falsifier is action before W_epsilon settle or horizon H elapse.	action,before,card,decision,elapse,falsifier,horizon,settle,w_epsilon
S-0639	Decision card falsifier is mid-run drift of sigma_max^2 or epsilon_E without version revision.	card,decision,drift,epsilon_e,falsifier,mid-run,revision,sigma_max,version,without
S-0640	Any decision-card falsifier routes to Theta with snapshot witness.	any,decision-card,falsifier,routes,snapshot,theta,witness
S-0641	Decision-card methods must declare constants and tolerance signature.	constants,decision-card,declare,methods,must,signature,tolerance
S-0642	Decision-card methods must quantize hats and compute L, sigma_phi^2, and terminal Delta-Energy per window.	compute,decision-card,delta-energy,hats,methods,must,per,quantize,sigma_phi,terminal,window
S-0643	Decision-card methods must apply routing table and tag exit with timer and hazard overlays.	apply,decision-card,exit,hazard,methods,must,overlays,routing,table,tag,timer
S-0644	Decision-card methods must run commit receipts for corridor-to-soliton and otherwise keep keys or issue Theta witness.	commit,corridor-to-soliton,decision-card,issue,keep,keys,methods,must,otherwise,receipts,run,theta,witness
S-0645	Decision-card methods must publish card snapshots at decision points with chain-of-custody.	card,chain-of-custody,decision,decision-card,methods,must,points,publish,snapshots
S-0646	Decision-card plain-language rule is red light abstain, green-plus-steady relax corridor, guard fail cavitate.	abstain,cavitate,corridor,decision-card,fail,green-plus-steady,guard,light,plain-language,red,relax,rule
S-0647	MDL is the minimum description length bias for low-order low-brittleness structure.	bias,description,length,low-brittleness,low-order,mdl,minimum,structure
S-0648	MDL prefers shorter integer descriptions that raise harmony and reduce brittleness.	brittleness,descriptions,harmony,integer,mdl,prefers,raise,reduce,shorter
S-0649	Pairwise order cost is p+q.	cost,order,pairwise
S-0650	N-way order cost is sum of component magnitudes.	component,cost,magnitudes,n-way,order,sum
S-0651	Lower order means shorter code length.	code,length,lower,means,order,shorter
S-0652	MDL quality identity requires negative thinning slope of log|Khat| versus order after detune normalization.	after,detune,identity,khat,log,mdl,negative,normalization,order,quality,requires,slope,thinning,versus
S-0653	MDL aggregation weights can use inverse order weighting normalized.	aggregation,can,inverse,mdl,normalized,order,use,weighting,weights
S-0654	MDL operationalizes LOW and rejects brittle high-order lookalikes.	brittle,high-order,lookalikes,low,mdl,operationalizes,rejects
S-0655	MDL-limited search is finite and beam-safe.	beam-safe,finite,mdl-limited,search
S-0656	N-way emergent claims require stronger MDL and causal tests than pairwise covers.	causal,claims,covers,emergent,mdl,n-way,pairwise,require,stronger,tests,than
S-0657	Candidate generation enumerates integer vectors up to order cap o_max.	candidate,cap,enumerates,generation,integer,o_max,order,up,vectors
S-0658	Candidate generation keeps top beam B by MDL rank.	beam,candidate,generation,keeps,mdl,rank,top
S-0659	Per-window ranking uses detune-normalized K then low zeta then low order.	detune-normalized,low,order,per-window,ranking,uses,zeta
S-0660	Acceptance replaces any accepted lock if stronger lower-order cover exists.	acceptance,accepted,any,cover,exists,if,lock,lower-order,replaces,stronger
S-0661	Acceptance rejects candidates without significant synergy.	acceptance,candidates,rejects,significant,synergy,without
S-0662	Leadership handoff requires hysteresis, MDL_ok, and E3 evidence at higher levels.	e3,evidence,handoff,higher,hysteresis,leadership,levels,mdl_ok,requires
S-0663	RG persistence requires low-order persistence under x2 pooling and demotion when higher-order outruns lower-order.	demotion,higher-order,low-order,lower-order,outruns,persistence,pooling,requires,rg,under,when,x2
S-0664	Space bridges are legal only when they reduce order or lower zeta.	bridges,legal,lower,only,order,reduce,space,they,when,zeta
S-0665	No higher-order addition is legal without MDL gain.	addition,gain,higher-order,legal,mdl,no,without
S-0666	Emergent composites must beat all pairwise marginals or strictly reduce order while raising H*.	all,beat,composites,emergent,marginals,must,order,pairwise,raising,reduce,strictly,while
S-0667	Otherwise emergent composites are pruned.	composites,emergent,otherwise,pruned
S-0668	Reports must include order sets, thinning plots, and pooled verdicts.	include,must,order,plots,pooled,reports,sets,thinning,verdicts
S-0669	MDL evidence includes formal quality identity tests and explicit overfit failure mode.	evidence,explicit,failure,formal,identity,includes,mdl,mode,overfit,quality,tests
S-0670	Pseudocode evidence includes MDL ranking, lower-order replacement, and RG persistence enforcement.	enforcement,evidence,includes,lower-order,mdl,persistence,pseudocode,ranking,replacement,rg
S-0671	Objective aggregation S* includes MDL-weighted |K| alongside Z, chi2, and D_KL terms.	aggregation,alongside,chi2,d_kl,includes,mdl-weighted,objective,terms
S-0672	MDL falsifier is no thinning after detune normalization.	after,detune,falsifier,mdl,no,normalization,thinning
S-0673	MDL falsifier is composite inversion where composite survives but lower-order subset dies post-pooling.	but,composite,dies,falsifier,inversion,lower-order,mdl,post-pooling,subset,survives,where
S-0674	MDL falsifier is higher-order tie not pruned under E3/E4 parity.	e3,e4,falsifier,higher-order,mdl,not,parity,pruned,tie,under
S-0675	Raw K maximization can reward brittle high-order illusions.	brittle,can,high-order,illusions,maximization,raw,reward
S-0676	MDL aligns selection with LOW and RG persistence by penalizing order and brittleness.	aligns,brittleness,low,mdl,order,penalizing,persistence,rg,selection
